Date;Open;High;Low;Close;Adj Close;Volume
2018-04-17;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-04-18;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-04-19;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-04-20;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-04-23;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-04-24;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-04-25;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-04-26;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-04-27;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-04-30;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-02;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-03;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-04;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-07;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-08;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-09;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-10;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-11;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-14;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-15;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-16;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-17;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-18;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-21;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-22;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-23;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-24;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-25;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-28;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-29;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-05-30;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-01;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-04;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-05;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-06;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-07;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-08;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-11;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-12;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-13;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-14;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-15;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-18;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-19;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-20;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-21;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-22;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-25;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-26;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-27;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-28;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-06-29;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-02;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-03;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-04;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-05;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-06;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-10;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-11;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-12;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-13;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-16;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-17;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-18;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-19;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-20;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-23;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-24;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-25;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-26;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-27;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-30;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-07-31;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-01;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-02;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-03;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-06;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-07;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-08;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-09;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-10;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-13;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-14;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-15;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-16;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-17;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-20;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-21;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-22;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-23;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-24;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-27;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-28;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-29;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-30;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-08-31;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-03;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-04;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-05;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-06;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-10;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-11;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-12;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-13;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-14;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-17;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-18;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-19;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-20;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-21;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-24;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-25;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-26;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-27;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-09-28;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-01;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-02;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-03;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-04;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-05;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-08;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-09;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-10;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-11;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-15;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-16;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-17;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-18;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-19;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-22;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-23;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-24;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-25;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-26;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-29;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-30;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-10-31;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0.5995000004768372;0
2018-11-01;0.3310000002384186;0.3310000002384186;0.3102000057697296;0.33000001311302185;0.33000001311302185;120000
2018-11-05;0.33000001311302185;0.33000001311302185;0.33000001311302185;0.33000001311302185;0.33000001311302185;0
2018-11-06;0.3199999928474426;0.3199999928474426;0.3199999928474426;0.3199999928474426;0.3199999928474426;10000
2018-11-07;0.3199999928474426;0.3199999928474426;0.3199999928474426;0.3199999928474426;0.3199999928474426;130000
2018-11-08;0.30000001192092896;0.30000001192092896;0.30000001192092896;0.30000001192092896;0.30000001192092896;100000
2018-11-09;0.33000001311302185;0.33000001311302185;0.30000001192092896;0.30000001192092896;0.30000001192092896;230000
2018-11-12;0.3199999928474426;0.3199999928474426;0.3199999928474426;0.3199999928474426;0.3199999928474426;10000
2018-11-13;0.3199999928474426;0.3199999928474426;0.3199999928474426;0.3199999928474426;0.3199999928474426;0
2018-11-14;0.3199999928474426;0.3199999928474426;0.3199999928474426;0.3199999928474426;0.3199999928474426;0
2018-11-16;0.3199000060558319;0.3199999928474426;0.3199000060558319;0.3199999928474426;0.3199999928474426;20000
2018-11-19;0.30000001192092896;0.30000001192092896;0.30000001192092896;0.30000001192092896;0.30000001192092896;10000
2018-11-21;0.30000001192092896;0.30000001192092896;0.30000001192092896;0.30000001192092896;0.30000001192092896;90000
